simplified,canonical_traditional,source_count,semantic_level,distinct_meaning_count,ocr_risk_level,ocr_risk_score,frequency_tier,frequency_rank,cc_cedict_occurrences,avg_stroke_reduction,component_change_count,cultural_tags
学,學,1,低,1,中,3,高频,1,966,8.0,2,大幅简化;高频用字
书,書,1,低,1,低,2,高频,14,364,6.0,2,高频用字
东,東,1,低,1,低,0,高频,10,433,3.0,0,高频用字
车,車,1,低,1,低,0,高频,8,533,3.0,0,高频用字
发,發,2,中,2,高,7,高频,4,609,8.5,4,大幅简化;高频用字
后,後,2,中,2,高,6,高频,12,401,3.0,3,古字复用;高频用字
面,麵,2,中,2,高,7,高频,5,605,11.0,2,大幅简化;高频用字
台,臺,4,高,4,高,9,高频,11,407,10.3,5,多源合并;古字复用;大幅简化;高频用字
余,餘,2,中,2,高,7,中频,62,137,8.0,4,大幅简化
杰,傑,2,低,1,高,6,低频,96,61,4.0,4,基础样本
蒙,矇,4,高,4,高,6,中频,52,170,3.7,4,多源合并
干,幹,3,高,3,高,8,高频,20,279,9.0,3,多源合并;大幅简化;高频用字
复,復,3,高,3,高,7,高频,26,226,5.7,4,多源合并;高频用字
系,係,3,高,3,高,7,高频,27,224,7.0,4,多源合并;高频用字
苏,蘇,3,高,3,高,8,中频,55,161,10.7,2,多源合并;大幅简化
胡,鬍,3,高,3,高,8,中频,56,156,8.0,4,多源合并;大幅简化
向,嚮,3,高,3,高,8,中频,58,154,10.0,4,多源合并;大幅简化
汇,匯,3,高,3,高,8,低频,89,90,8.0,2,多源合并;大幅简化
只,隻,3,高,3,高,7,低频,97,61,4.0,3,多源合并
泛,氾,3,高,3,高,6,低频,98,49,-1.5,2,多源合并
毁,毀,3,高,3,高,6,低频,99,42,3.7,2,多源合并
熏,燻,3,中,2,高,6,低频,100,30,3.5,2,多源合并
家,傢,2,中,2,中,5,高频,2,727,2.0,4,高频用字
克,剋,2,中,2,中,5,高频,3,643,2.0,4,高频用字
出,齣,2,中,2,高,7,高频,6,561,15.0,4,大幅简化;高频用字
合,閤,2,中,2,高,7,高频,9,505,8.0,4,大幅简化;高频用字
里,裏,2,中,2,高,6,高频,7,541,6.0,4,高频用字
布,佈,2,中,2,中,5,高频,13,400,2.0,4,高频用字
同,衕,2,中,2,高,6,高频,15,358,6.0,4,高频用字
制,製,2,中,2,高,6,高频,16,348,6.0,3,高频用字
回,迴,2,中,2,中,5,高频,17,313,3.0,4,高频用字
当,當,2,中,2,高,7,高频,18,283,8.5,4,大幅简化;高频用字
夫,伕,2,中,2,中,5,高频,19,280,2.0,2,高频用字
