simplified,traditional_candidates,retained_traditional_candidates,excluded_traditional_candidates,candidate_count,retained_candidate_count,cc_cedict_pair_evidence,source_chars_with_cedict_evidence,source_chars_with_unihan,source_chars_with_chise,quality_gate,unihan_traditional_variants,has_chise_ids,already_in_project,example_pairs
蒙,蒙 矇 濛 懞,蒙 矇 濛 懞,,4,4,170,4,4,4,pass,懞 濛 矇 蒙,yes,no,內蒙->内蒙 | 啟矇->启蒙 | 迷濛->迷蒙
干,幹 乾 干 榦,幹 乾 干,榦,4,3,277,3,4,4,pass,乾 干 幹,yes,no,主幹->主干 | 乾俸->干俸 | 何干->何干
复,復 複 覆,復 複 覆,,3,3,226,3,3,3,pass,复 復 複 覆,yes,no,不復->不复 | 繁複->繁复 | 反覆->反复
系,系 係 繫,系 係 繫,,3,3,224,3,3,3,pass,係 系 繫,yes,no,世系->世系 | 係數->系数 | 品繫->品系
苏,蘇 甦 囌,蘇 甦 囌,,3,3,160,3,3,3,pass,囌 苏 蘇,yes,no,三蘇->三苏 | 復甦->复苏 | 嚕囌->噜苏
胡,胡 鬍 衚,胡 鬍 衚,,3,3,156,3,3,3,pass,胡 衚 鬍,yes,no,二胡->二胡 | 腮鬍->腮胡 | 衚衕->胡同
向,向 嚮 曏,向 嚮 曏,,3,3,154,3,3,3,pass,向 嚮 曏,yes,no,一向->一向 | 嚮導->向导 | 曏->向
汇,匯 彙 滙,匯 彙 滙,,3,3,90,3,3,3,pass,匯 彙,yes,no,交匯->交汇 | 交彙->交汇 | 滙->汇
只,只 隻 祇,只 隻 祇,,3,3,59,3,3,3,pass,只 戠 衹 隻,yes,no,不只->不只 | 大隻->大只 | 祇->只
泛,泛 氾 汎,泛 氾 汎,,3,3,49,3,3,3,pass,,yes,no,寬泛->宽泛 | 氾濫->泛滥 | 汎->泛
毁,毀 燬 譭,毀 燬 譭,,3,3,42,3,3,3,pass,毀,yes,no,墜毀->坠毁 | 炸燬->炸毁 | 黃鐘譭棄瓦釜雷鳴->黄钟毁弃瓦釜雷鸣
熏,燻 熏 薰,燻 熏 薰,,3,3,30,3,3,3,pass,,yes,no,煙燻->烟熏 | 熏天->熏天 | 薰心->熏心
家,家 傢,家 傢,,2,2,727,2,2,2,pass,傢 家,yes,no,一家->一家 | 傢伙->家伙
克,克 剋,克 剋,,2,2,642,2,2,2,pass,克 剋,yes,no,丁克->丁克 | 剋扣->克扣
出,出 齣,出 齣,,2,2,561,2,2,2,pass,出 齣,yes,no,交出->交出 | 齣->出
合,合 閤,合 閤,,2,2,505,2,2,2,pass,合 閤,yes,no,上合->上合 | 閤->合
里,裏 里 哩,裏 里,哩,3,2,417,2,3,3,pass,裏 裡 里,yes,no,哪裏->哪里 | 佳里->佳里
布,布 佈,布 佈,,2,2,400,2,2,2,pass,,yes,no,仁布->仁布 | 佈伍->布伍
同,同 衕,同 衕,,2,2,358,2,2,2,pass,同 衕,yes,no,一同->一同 | 衚衕->胡同
制,制 製,制 製,,2,2,348,2,2,2,pass,制 製,yes,no,克制->克制 | 仿製->仿制
回,回 迴,回 迴,,2,2,312,2,2,2,pass,回 迴,yes,no,上回->上回 | 巡迴->巡回
当,當 噹,當 噹,,2,2,283,2,2,2,pass,噹 当 當,yes,no,上當->上当 | 叮噹->叮当
夫,夫 伕,夫 伕,,2,2,280,2,2,2,pass,,yes,no,丁夫->丁夫 | 馬伕->马夫
板,板 闆,板 闆,,2,2,262,2,2,2,pass,板 闆,yes,no,三板->三板 | 老闆->老板
万,萬 万,萬 万,,2,2,253,2,2,2,pass,万 萬,yes,no,上萬->上万 | 万俟->万俟
表,表 錶,表 錶,,2,2,251,2,2,2,pass,表 錶,yes,no,代表->代表 | 名錶->名表
云,雲 云,雲 云,,2,2,228,2,2,2,pass,云 雲,yes,no,上雲->上云 | 云云->云云
宁,寧 甯,寧 甯,,2,2,227,2,2,2,pass,宁 寧,yes,no,丁寧->丁宁 | 甯->宁
游,遊 游,遊 游,,2,2,220,2,2,2,pass,,yes,no,乙遊->乙游 | 上游->上游
吃,喫 吃,喫 吃,,2,2,216,2,2,2,pass,,yes,no,喫->吃 | 亂吃->乱吃
核,核 覈,核 覈,,2,2,212,2,2,2,pass,,yes,no,似核->似核 | 覈->核
药,藥 葯,藥 葯,,2,2,210,2,2,2,pass,葯 藥,yes,no,下藥->下药 | 葯->药
曲,曲 麴,曲 麴,,2,2,205,2,2,2,pass,曲 麯,yes,no,作曲->作曲 | 紅麴->红曲
症,症 癥,症 癥,,2,2,203,2,2,2,pass,症 癥,yes,no,對症->对症 | 癥結->症结
广,廣 广,廣 广,,2,2,197,2,2,2,pass,广 廣,yes,no,京廣->京广 | 广->广
于,於 于,於 于,,2,2,196,2,2,2,pass,于 於,yes,no,介於->介于 | 于丹->于丹
背,背 揹,背 揹,,2,2,193,2,2,2,pass,,yes,no,刀背->刀背 | 揹債->背债
证,證 証,證 証,,2,2,193,2,2,2,pass,證,yes,no,上證->上证 | 証->证
了,了 瞭,了 瞭,,2,2,192,2,2,2,pass,了 瞭,yes,no,不了->不了 | 明瞭->明了
托,託 托,託 托,,2,2,191,2,2,2,pass,,yes,no,依託->依托 | 交托->交托
术,術 朮,術 朮,,2,2,190,2,2,2,pass,术 術,yes,no,仁術->仁术 | 朮赤->术赤
叶,葉 叶,葉 叶,,2,2,189,2,2,2,pass,叶 葉,yes,no,中葉->中叶 | 叶韻->叶韵
团,團 糰,團 糰,,2,2,187,2,2,2,pass,團 糰,yes,no,使團->使团 | 糰子->团子
周,周 週 賙,周 週,賙,3,2,186,2,3,3,pass,,yes,no,一周->一周 | 下週->下周
斗,鬥 斗,鬥 斗,,2,2,182,2,2,2,pass,斗 鬥,yes,no,內鬥->内斗 | 公斗->公斗
千,千 韆,千 韆,,2,2,181,2,2,2,pass,千 韆,yes,no,出千->出千 | 鞦韆->秋千
价,價 价,價 价,,2,2,180,2,2,2,pass,价 價,yes,no,一價->一价 | 价->价
别,別 彆,別 彆,,2,2,178,2,2,2,pass,別 别 彆,yes,no,久別->久别 | 彆嘴->别嘴
虫,蟲 虫,蟲 虫,,2,2,177,2,2,2,pass,虫 蟲,yes,no,候蟲->候虫 | 虫->虫
烟,煙 菸,煙 菸,,2,2,173,2,2,2,pass,烟 煙,yes,no,人煙->人烟 | 抽菸->抽烟
松,松 鬆,松 鬆,,2,2,172,2,2,2,pass,松 鬆,yes,no,宿松->宿松 | 嘴鬆->嘴松
局,局 侷,局 侷,,2,2,170,2,2,2,pass,,yes,no,世局->世局 | 侷促->局促
豆,豆 荳,豆 荳,,2,2,168,2,2,2,pass,,yes,no,土豆->土豆 | 荳->豆
恶,惡 噁,惡 噁,,2,2,163,2,2,2,pass,噁 惡,yes,no,交惡->交恶 | 噁心->恶心
修,修 脩,修 脩,,2,2,155,2,2,2,pass,,yes,no,下修->下修 | 脩->修
个,個 箇,個 箇,,2,2,147,2,2,2,pass,个 個,yes,no,一個->一个 | 箇->个
枪,槍 鎗,槍 鎗,,2,2,143,2,2,2,pass,槍,yes,no,中槍->中枪 | 鎗->枪
佛,佛 彿,佛 彿,,2,2,142,2,2,2,pass,,yes,no,丹佛->丹佛 | 彷彿->仿佛
尽,盡 儘,盡 儘,,2,2,136,2,2,2,pass,儘 尽 盡,yes,no,不盡->不尽 | 儘先->尽先
志,志 誌,志 誌,,2,2,135,2,2,2,pass,志 誌,yes,no,凌志->凌志 | 代誌->代志
冲,衝 沖,衝 沖,,2,2,133,2,2,2,pass,冲 沖 衝,yes,no,俯衝->俯冲 | 八沖->八冲
岩,巖 岩,巖 岩,,2,2,131,2,2,2,pass,,yes,no,層巖->层岩 | 呂岩->吕岩
暗,暗 闇,暗 闇,,2,2,130,2,2,2,pass,,yes,no,幽暗->幽暗 | 闇->暗
针,針 鍼,針 鍼,,2,2,130,2,2,2,pass,針,yes,no,分針->分针 | 鍼->针
折,折 摺,折 摺,,2,2,128,2,2,2,pass,折 摺,yes,no,九折->九折 | 奏摺->奏折
坐,坐 座,坐 座,,2,2,124,2,2,2,pass,,yes,no,並坐->并坐 | 座標->坐标
征,徵 征,徵 征,,2,2,124,2,2,2,pass,征 徵,yes,no,儀徵->仪征 | 出征->出征
秋,秋 鞦,秋 鞦,,2,2,124,2,2,2,pass,秋 鞦,yes,no,中秋->中秋 | 鞦韆->秋千
准,準 准,準 准,,2,2,122,2,2,2,pass,准 準,yes,no,一準->一准 | 一准->一准
卷,卷 捲,卷 捲,,2,2,122,2,2,2,pass,卷 捲,yes,no,中卷->中卷 | 席捲->席卷
历,歷 曆,歷 曆,,2,2,122,2,2,2,pass,历 曆 歷,yes,no,來歷->来历 | 公曆->公历
谷,谷 穀,谷 穀,,2,2,117,2,2,2,pass,穀 谷,yes,no,低谷->低谷 | 五穀->五谷
录,錄 彔,錄 彔,,2,2,116,2,2,2,pass,錄 録,yes,no,側錄->侧录 | 彔->录
几,幾 几,幾 几,,2,2,115,2,2,2,pass,几 幾,yes,no,十幾->十几 | 几案->几案
念,念 唸,念 唸,,2,2,114,2,2,2,pass,,yes,no,信念->信念 | 唸唸有詞->念念有词
丰,豐 丰,豐 丰,,2,2,113,2,2,2,pass,丰 豐,yes,no,信豐->信丰 | 丰姿->丰姿
旋,旋 鏇,旋 鏇,,2,2,109,2,2,2,pass,旋 鏇,yes,no,下旋->下旋 | 鏇子->旋子
才,才 纔,才 纔,,2,2,106,2,2,2,pass,才 纔,yes,no,不才->不才 | 剛纔->刚才
致,致 緻,致 緻,,2,2,106,2,2,2,pass,緻 致,yes,no,一致->一致 | 別緻->别致
注,注 註,注 註,,2,2,105,2,2,2,pass,注 註,yes,no,下注->下注 | 偏註->偏注
溪,溪 谿,溪 谿,,2,2,100,2,2,2,pass,,yes,no,卓溪->卓溪 | 婦姑勃谿->妇姑勃溪
